HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
2,52,4.41825650e-05,1.04903338e-04,5.08662852e-05,258
2,53,1.75189998e-05,7.09970991e-05,5.11369290e-05,101
2,54,4.56661874e-05,1.24596845e-04,5.47817472e-05,1479
2,55,1.13162496e-04,2.46123345e-05,5.20000031e-05,5
2,56,3.36242119e-05,9.03316759e-05,5.36646476e-05,390
2,57,5.01818104e-05,9.05142515e-05,5.32621052e-05,275
2,58,1.12973743e-04,1.29740787e-04,5.38811619e-05,154
2,59,9.20935272e-05,1.18147393e-04,5.50490877e-05,246
2,60,7.86128949e-05,1.24631944e-04,5.68912510e-05,98
2,61,7.68625541e-05,1.24162441e-04,5.77496903e-05,8
2,62,6.42498198e-05,5.12993356e-05,5.95840793e-05,188
2,63,8.87478382e-05,6.64684485e-05,6.10702773e-05,742
2,64,5.26928525e-05,9.94112197e-05,6.20099017e-05,178
2,65,5.13804662e-05,2.52842910e-05,6.16946782e-05,137
2,66,7.00536984e-05,6.23717206e-05,6.21911167e-05,153
2,67,4.00437639e-05,3.22902597e-05,6.26550463e-05,92
2,68,6.71267553e-05,8.90933588e-05,6.26712281e-05,67
2,69,1.40452012e-05,1.00353478e-04,6.25518369e-05,163
2,70,5.32727900e-05,1.02390091e-04,6.25742759e-05,117
3,1,2.49730001e-05,2.88087140e-05,4.70085695e-08,21
3,2,8.43627276e-05,6.34000098e-05,2.25492954e-07,11
3,3,8.86790585e-05,7.69226826e-05,1.55177958e-07,16
3,4,2.30124606e-05,8.35079627e-05,1.64676479e-07,60
3,5,2.06421064e-05,8.68767820e-05,4.77152412e-07,217
3,6,1.21047553e-04,9.34147247e-05,2.17503555e-07,52
3,7,1.01348036e-04,1.08743785e-04,6.15288457e-07,461
3,8,1.84097153e-05,1.14433606e-04,4.57378110e-06,4595
3,9,5.55681108e-05,1.15174567e-04,5.15791896e-07,361
3,10,1.77992188e-05,1.16048213e-04,2.06652828e-07,60
3,11,1.13520175e-04,1.17654359e-04,1.33138172e-07,15
3,12,1.13513699e-04,1.19636286e-04,2.48191554e-07,36
3,13,1.13450078e-04,1.18649543e-04,3.16664091e-06,204
3,14,5.90979698e-06,1.04931460e-04,3.81248583e-06,58
3,15,8.46602270e-05,6.35040051e-05,5.91250864e-06,341
3,16,2.17918987e-05,8.55886028e-05,7.22371033e-06,1099
3,17,2.56895164e-05,2.70799883e-05,7.03616433e-06,536
3,18,8.35053725e-05,9.00366358e-05,8.89923285e-06,89
3,19,1.01505320e-04,1.10834204e-04,9.77914715e-06,665
3,20,9.31699396e-05,1.11858018e-04,1.09205075e-05,256
3,21,1.22277444e-04,9.16096396e-05,1.33590456e-05,1199
3,22,4.97125111e-05,1.47035516e-05,1.76925223e-05,438
3,23,7.96222666e-05,4.45591977e-05,1.77840866e-05,141
3,24,1.00171812e-04,4.59658841e-05,1.73415010e-05,249
3,25,1.06377229e-04,1.06965112e-04,1.78293594e-05,47
3,26,1.21168472e-04,7.59569812e-05,2.02044102e-05,87
3,27,8.20996793e-05,6.74757321e-05,2.80239128e-05,3438
3,28,1.31380832e-04,5.69884505e-05,2.71308490e-05,932
3,29,1.00461250e-04,1.21062687e-04,2.47936368e-05,46
3,30,7.49583114e-06,7.14330381e-05,2.74008871e-05,35
3,31,7.49921674e-05,1.24382248e-04,3.08370763e-05,902
3,32,1.05483421e-04,3.82461367e-05,3.50132977e-05,419
3,33,5.43022434e-05,8.60230502e-05,3.61422572e-05,331
3,34,2.56212679e-05,1.28729371e-04,3.72681570e-05,503
3,35,1.11613932e-04,3.55601769e-05,3.89505476e-05,50
