HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
5,35,1.00532918e-04,1.20868819e-04,2.47522930e-05,69
5,36,1.31018605e-04,5.66672206e-05,2.76938536e-05,1684
5,37,2.87084986e-05,1.04036881e-04,2.59996705e-05,33
5,38,8.22123002e-06,7.25958744e-05,2.76114388e-05,234
5,39,7.43454584e-05,1.25047984e-04,2.95659956e-05,290
5,40,1.27779233e-04,2.85347087e-05,3.02855915e-05,219
5,41,1.05645609e-04,3.81938553e-05,3.51176714e-05,1155
5,42,5.43709648e-05,8.60059808e-05,3.62661558e-05,902
5,43,7.35195645e-05,5.46356932e-05,3.61439670e-05,197
5,44,2.57319844e-05,1.28647051e-04,3.74641822e-05,990
5,45,9.87789972e-05,1.13091764e-05,3.62507380e-05,28
5,46,1.10831832e-04,3.49336042e-05,3.90926361e-05,676
5,47,9.21147875e-05,5.31217956e-05,3.92154980e-05,497
5,48,1.08646629e-04,2.28249555e-05,4.10806824e-05,1084
5,49,7.44126446e-05,5.39787397e-05,4.01067700e-05,491
5,50,4.16113871e-05,1.33064241e-04,4.17070660e-05,1990
5,51,5.73185207e-05,8.69843134e-05,4.05185128e-05,107
5,52,8.86673588e-05,1.13341684e-05,4.25281214e-05,89
5,53,6.46869739e-05,1.34262111e-04,4.39044561e-05,454
5,54,1.91838517e-05,5.66830749e-05,4.42362616e-05,351
5,55,5.10068021e-05,6.37718113e-05,4.38751777e-05,191
5,56,7.09945671e-05,5.33688908e-05,4.59548282e-05,629
5,57,1.41195251e-05,5.34268183e-05,4.56345988e-05,303
5,58,7.62302152e-05,5.50833938e-05,4.64855220e-05,840
5,59,2.89063119e-05,2.14088450e-05,4.68867729e-05,75
5,60,1.15888775e-04,4.16992189e-05,4.95229469e-05,2552
5,61,1.36217104e-05,3.02864228e-05,4.99833404e-05,596
5,62,4.42193850e-05,1.04723425e-04,5.09355632e-05,587
5,63,1.37361538e-04,1.14131588e-04,5.13069099e-05,279
5,64,1.77481088e-05,7.11013490e-05,5.10666869e-05,228
5,65,1.13094662e-04,2.46237305e-05,5.17471526e-05,509
5,66,1.11303416e-04,1.30990229e-04,5.27099182e-05,327
5,67,3.35451114e-05,9.00309387e-05,5.36423504e-05,385
5,68,5.02604271e-05,9.05082634e-05,5.29404533e-05,566
5,69,9.19123268e-05,1.18320902e-04,5.46857045e-05,753
5,70,4.49105428e-05,1.24839586e-04,5.64023176e-05,3005
5,71,8.89843723e-05,6.76780692e-05,6.12048898e-05,4386
5,72,7.67940728e-05,1.24107100e-04,5.69001895e-05,10
5,73,9.21659230e-05,1.15042776e-05,5.91904136e-05,630
5,74,1.15516668e-05,3.77658580e-05,5.85841299e-05,307
5,75,6.46461267e-05,5.06418692e-05,5.95963866e-05,462
5,76,5.18159904e-05,2.48956676e-05,6.15444442e-05,527
5,77,6.99240045e-05,6.22338994e-05,6.18606718e-05,554
5,78,4.00580793e-05,3.06499751e-05,6.23743181e-05,571
5,79,1.16861593e-04,2.67734158e-05,6.25910398e-05,284
5,80,1.41447272e-05,1.00833640e-04,6.24890890e-05,501
5,81,6.71450689e-05,8.82702443e-05,6.26074616e-05,93
5,82,5.08514931e-05,1.01510239e-04,6.25343819e-05,58
5,83,5.47709933e-05,1.02787286e-04,6.28374255e-05,240
5,84,8.08679324e-05,5.73611396e-05,6.27796544e-05,41
5,85,4.21659070e-06,8.52587109e-05,6.30307186e-05,33
6,1,2.79511005e-05,2.57032207e-05,1.46346366e-07,61
6,2,2.48645192e-05,2.82985584e-05,3.67293040e-07,245
6,3,2.73947626e-06,5.70856355e-05,3.53362623e-07,136
6,4,2.45739775e-05,5.67426105e-05,2.20310213e-07,74
6,5,1.65268420e-06,5.98289225e-05,3.31058686e-07,148
6,6,8.35701430e-05,6.58184945e-05,2.60971387e-06,2492
6,7,8.81211381e-05,7.68472019e-05,3.06066397e-07,248
6,8,2.30504993e-05,8.36275140e-05,5.48054857e-07,539
6,9,2.13104377e-05,8.59993597e-05,5.16202681e-06,2960
6,10,8.73928184e-06,1.06383573e-04,2.24064593e-06,913
